area,lon,lat,num_bed,num_bath,category,price,newprice,bank,cafe,clinic,college,hospital,mall,marketplace,medical_supply,parking,pharmacy,police,school,supermarket,university,priceP,point,pointPlus
79,106.655258,10.875097,6,5,2,282165.2174,"6,200,000,000",0,10,0,0,0,7,0,0,1,6,0,4,4,0,12600,20,9600
79,106.683562,10.86451,3,2,2,175717.3913,"3,800,000,000",0,10,0,0,0,5,2,0,2,3,0,2,7,0,10500,20,9600
100,105.806767,21.064315,3,4,2,504660.8696,"11,000,000,000",10,10,1,2,4,10,1,4,1,10,3,6,6,1,26400,20,23100
170,106.73592,10.750509,4,5,2,543630.4348,"12,400,000,000",0,10,0,1,0,3,0,0,0,1,0,1,2,0,4500,20,7500
126,108.238309,16.053778,3,3,2,389365.2174,"8,500,000,000",2,10,0,2,0,10,1,0,0,10,0,4,5,0,19800,16,12900
81,106.700546,10.729355,3,3,2,419047.8261,"9,300,000,000",1,10,0,2,0,10,0,0,1,1,0,3,5,4,14700,20,10500
105,106.67817,10.773415,4,4,2,538100,"11,500,000,000",10,10,3,7,3,10,2,3,1,9,1,10,5,3,38100,20,29700
112,105.748378,21.031105,6,4,2,221295.6522,"4,800,000,000",0,6,1,0,0,1,0,0,0,6,0,3,6,0,12600,20,6300
97,106.573431,10.662409,4,3,2,116795.6522,"2,500,000,000",2,10,0,0,0,6,2,0,0,3,0,2,3,0,8100,15,10800
100,106.58908,10.854608,3,3,2,101352.1739,"2,200,000,000",0,10,0,1,0,3,0,0,0,3,0,0,3,0,5700,15,6600
100,106.699716,10.761365,3,3,2,178426.087,"3,400,000,000",10,10,7,0,4,10,1,4,2,10,2,10,9,1,30600,20,25500
121,106.566154,20.554908,4,4,2,566417.3913,"13,000,000,000",0,2,0,0,0,0,0,0,0,0,0,1,0,0,1200,4,2100
75,106.778318,10.819638,3,4,2,286886.9565,"6,350,000,000",0,10,0,0,0,10,0,0,0,6,0,4,1,0,10800,20,9600
75,106.768204,10.829163,5,5,2,498060.8696,"11,000,000,000",9,10,1,1,0,10,1,0,1,10,1,4,7,0,19800,20,16500
75,106.800077,10.793105,3,4,2,237186.9565,"5,200,000,000",0,7,0,0,1,0,0,1,0,1,1,7,2,0,11100,20,11400
150,108.219692,16.030654,4,4,2,557578.2609,"12,500,000,000",2,10,0,2,1,2,1,1,0,3,1,3,3,2,14100,16,12900
162,105.909448,21.032521,5,4,2,618447.8261,"13,900,000,000",6,10,1,1,1,10,2,1,0,5,1,4,3,0,14100,20,16500
160,106.666808,10.761581,5,4,2,479182.6087,"10,000,000,000",10,10,7,2,6,10,8,6,0,10,3,10,9,6,44400,20,34800
180,106.64822,10.755788,3,3,2,370634.7826,"7,600,000,000",10,10,0,8,8,10,2,8,2,10,2,10,6,0,40200,20,34800
100,105.837022,21.011586,4,5,2,466582.6087,"10,000,000,000",10,10,2,1,5,10,1,5,3,10,2,10,10,0,31800,20,27000
68,105.827406,21.03965,10,9,2,544539.1304,"12,000,000,000",10,10,1,0,0,9,0,0,3,10,1,10,3,0,22800,20,21000
80,106.699716,10.761365,4,4,2,369730.4348,"7,800,000,000",10,10,7,0,4,10,1,4,2,10,2,10,9,1,30600,20,25500
100,106.634486,10.762684,5,5,2,532543.4783,"11,800,000,000",0,10,0,0,1,7,1,1,1,3,0,9,6,1,19500,20,15900
48,106.64822,10.755788,4,5,2,292373.913,"5,800,000,000",10,10,0,8,8,10,2,8,2,10,2,10,6,0,40200,20,34800
40,106.64822,10.755788,2,2,2,211939.1304,"3,950,000,000",10,10,0,8,8,10,2,8,2,10,2,10,6,0,40200,20,34800
108,106.682556,10.798866,5,5,2,557739.1304,"12,000,000,000",10,10,4,7,3,10,1,3,0,10,2,10,5,1,36000,20,28800
96,105.795115,20.980529,7,5,2,531800,"11,500,000,000",8,10,1,1,2,10,2,2,2,10,0,10,6,3,31800,20,24000
25,106.668391,10.792022,2,2,2,132773.913,"2,350,000,000",8,10,4,0,6,10,2,6,0,10,4,10,6,1,30600,20,27000
60,105.810202,21.042234,6,6,2,531200,"11,500,000,000",10,10,0,0,4,10,3,4,0,10,0,10,6,2,31200,20,27300
80,106.735046,10.708106,4,5,2,236513.0435,"5,150,000,000",0,10,1,0,0,1,0,0,1,6,0,4,4,0,12600,20,9600
